Category,CrimeGroup,Description,City,State,Zip,Latitude,Longitude,Date
1,B,amth victim whit hisp mal fairfaxcounty resid assault person knock ground he suff non lif threatening punct wound,Alexandria,VA,22304,38.811605,-77.127088,2000-1-23
20,A,pm subject remov cash busy intimid clerk whit mal city resid the suspect black mal year old wear gray coatwho fled unknown direct semin road fairbank avenu on pm victim hisp fem city resid report purs contain person property snatch should loc ther injury the suspect hisp mal year old wear dark hood sweatshirt blu jean read avenu winston court am am stol ford foc black stol toyot suv silv,Alexandria,VA,22314,38.806885,-77.080511,2000-11-22
15,A,pm,Alexandria,VA,,38.8039711,-77.151328,2000-11-20
15,A,am pm stol lex whit,Alexandria,VA,22311,38.8386528,-77.1164365,2008-10-9
20,A,pm suspect rob fairfax county wom gunpoint fil form atm window ther injury the suspect describ mal wear black hood sweatshirt,Alexandria,VA,22314,38.808221,-77.046498,2008-10-11
20,A,pm the victim wom catlet virgin approach two suspect punch took purs the victim sustain swel jaw the suspect describ black mal year old wear black jacket blu jean,Alexandria,VA,22314,38.8012235,-77.0534312,2008-10-13
20,A,pm city resid rob person property suspect punch knock down the suspect black mal yearsold wear red red grey shirt,Alexandria,VA,22304,38.8141043,-77.1327136,2008-10-8
5,A,an unknown suspect ent resid unknown mean ont insid suspect remov person property,Alexandria,VA,22301,38.8283857,-77.059026,
15,A,am am stol hond civ black stol dodg dakot pickup black,Alexandria,VA,22304,38.817853,-77.1278,2008-10-10
15,A,pm am,Alexandria,VA,22302,38.8281987,-77.084725,
15,A,pm am stol hond accord maroon,Alexandria,VA,22304,38.810908,-77.135693,2008-10-11
15,A,pm noon hond civ red persh avenu stoval street between noon pm stol gmc yukon an unknown suspect remov key cam back stol list vehic whit black,Alexandria,VA,22304,38.810908,-77.135693,2008-10-11
15,A,am dodg neon silv,Alexandria,VA,22307-1210,38.78033,-77.053769,2008-10-11
5,A,pm,Alexandria,VA,,38.804581,-77.043083,2008-9-2
5,A,midnight pm an unknown suspect ent resid unknown mean ont insid suspect remov person property,Alexandria,VA,22304,38.808573,-77.143528,2008-10-5
5,A,pm pm an unknown suspect ent resid without forc ont insid property remov,Alexandria,VA,22302,38.8355225,-77.1021302,2008-10-14
