Category,CrimeGroup,Description,City,State,Zip,Latitude,Longitude,Date
17,A,va jhc dodg carav blu,Arlington,VA,22202,38.86633,-77.048481,
17,A,va ycm toyot black,Arlington,VA,22204,38.85943,-77.116534,
17,A,va chrysler pt cru silv,Arlington,VA,22202,38.846207,-77.053289,
17,A,va ford crown victor silv,Arlington,VA,22204,38.852742,-77.104504,
17,A,va,Arlington,VA,,38.89051,-77.086294,
5,A,unknown subject ent busy break window reach op door an inv prem rev noth tak,Arlington,VA,22201,38.879581,-77.090142,2003-3-10
5,A,unknown subject attempt ent resid forc op lock door the subject gain entry,Arlington,VA,22201,38.885272,-77.087107,2003-3-10
1,B,off discov on occup handgun cont waistband pant furth investig rev arm occup er william murray blk capitol st ne washington dc want print georg co arm carjack anoth handgun discov hid on seat vehic murray charg possess stol firearm carry cont weapon cur held arlington county det facil,Arlington,VA,22201,38.8811825,-77.0840945,2003-3-9
20,A,victim fem approach four unknown mal subject gas stat subject mumbl someth victim purs victim reply nt anyth al four subject walk around victim car return victim subject ask victim purs the victim reply nt anyth subject walk away al four suspect describ juvenil bms wear dark cloth,Arlington,VA,22204,38.854353,-77.115521,2003-3-9
20,A,victim mal approach three unknown mal subject ent lobby apart build two subject surround victim demand money aft victim hand undetermin amount cash subject search victim pocket subject punch victim fac three subject fled scen head east rd subject describ wm poss hisp approx wear dark gray hood sweatshirt larg jacket subject describ bm approx wear pullov jacket subject describ bm,Arlington,VA,22204,38.8569,-77.1168027,2003-3-8
20,A,victim mal approach four unknown mal subject exit resta subject remov victim wallet pocket shov ground the three subject beg kick victim subject remov undetermin amount cash victim wallet the victim saw least two subject leav scen green vehic suspect describ wm hisp approx thin beard wear whit shirt black pant the three subject describ wms hisp,Arlington,VA,22204,38.860254,-77.094736,2003-3-7
5,A,unknown subject attempt ent resid tamp window entry dwel app success,Arlington,VA,22201,38.885272,-77.087107,2003-3-7
1,B,victim fem mal return vehic not unknown mal subject vehic attempt remov stereo when confront subject ran mal victim chas the subject got passeng sid wait vehic mal victim jump hood keep vehic leav the driv vehic accel stop sud throwing victim ground the driv accel ran victim fled west persh dr the victim transport loc hospit helicopt expect surv injury the larceny suspect describ bm lat teensear approx wear black pant black tshirt whit let black skul cap no describ suspect driv avail tim the suspect vehic describ darkcol jeep poss grand cherok,Arlington,VA,22203,38.8726675,-77.1068864,2003-3-6
5,A,unknown subject ent off remov undetermin amount cash entry gain forc op slid window,Arlington,VA,22202,38.8502774,-77.0519995,2003-3-6
20,A,victim fem approach two subject walk alley subject demand victim purs brand leng met pip threatening hit victim the victim hand purs subject demand victim cel phon push ground nt immedy hand both subject fled scen unknown direct suspect describ bm approx wear red leath jacket dark pant silv jewelry suspect describ bm approx wear black coat darkcol pant,Arlington,VA,22202,38.861185,-77.057312,2003-3-5
20,A,victim mal approach unknown mal subject walk car the subject greet victim demand money display handgun the victim hand wallet subject fled west st the suspect describ bm approx wear hood whit wint coat,Arlington,VA,22202,38.854129,-77.0553273,2003-3-5
5,A,unknown subject ent busy break window reach op door noth appear remov prem,Arlington,VA,22201,38.879581,-77.090142,2003-3-4
20,A,victim mal walk hom park vehic approach three unknown mal subject subject demand money victim ran toward apart build the subject chas victim knock ground took undetermin amount cash cel phon the subject left scen head sou chesterfield rd suspect describ bm approx wear blu jean whit shirt black jacket black skul cap suspect describ bm approx wear blu jean whit shirt suspect describ bm approx,Arlington,VA,22206,38.845406,-77.108583,2003-3-4
1,B,victim mal fem attack resid four unknown mal subject when mal victim answ knock door subject forc way beg attack victim two subject struck mal victim head handgun two subject attack fem subject but rifl whil struggling two subject mal victim man op front door four subject fled resid noth tak victim prem suspect describ wm hisp tal med build wear black tshirt blu jean basebal hat suspect describ wm hisp short thin build mustach wear whit tshirt blu jean suspect describ wm hisp heavy build wear black shirt pant suspect describ wm hisp approx med build wear longsleev offwhit shirt blu jean bal cap,Arlington,VA,22204,38.852764,-77.104035,2003-3-3
5,A,unknown subject ent resid remov port stereo entry poss mad window resid left op,Arlington,VA,22209,38.8876528,-77.071724,2003-3-3
5,A,unknown subject ent resid pry op front door an inv prem rev noth remov,Arlington,VA,22204,38.8655525,-77.07546,2003-3-3
1,B,victim fem sit vehic stoplight not unknown mal subject stand sidewalk pant zip op genit expos when victim pick cel phon cal pol subject walk away the suspect describ bm approx dark complect red hair wear shortsleev whit shirt brown stripes whit pant,Arlington,VA,22204,38.858834,-77.095281,2003-3-3
1,B,victim juvenil fem approach unknown mal subject vehic ask direct as victim approach vehic help subject on victim not subject masturb pul victim away the subject left scen head nor grant st the suspect describ wm cle cut wear tancol militarystyl uniform shirt pin,Arlington,VA,22202,38.856968,-77.0578,2003-3-3
17,A,pa ezg dodg intrepid gold,Arlington,VA,22202,38.86633,-77.048481,
