Category,CrimeGroup,Description,City,State,Zip,Latitude,Longitude,Date
15,A,on jun am victim report jun unknown person remov purs apart credit card contain us mak unauth purchas maryland,Fairfax,VA,22030,38.8559243,-77.3189311,2008-5-20
1,B,on jun pm victim report back park spac anoth vehic struck rear bump the driv fled scen without ident,Fairfax,VA,22031,38.8642351,-77.2782023,2008-5-20
15,A,on jun pm victim report sometim pm pm unknown person stol backpack contain vary electron item left unattend skateboard park,Fairfax,VA,22030,38.8520761,-77.2974439,2008-5-20
15,A,sometim am jun pm jun unknown person remov blu met whal rid park cit report find whal corn armstrong street sideburn road the whal return park reinstal,Fairfax,VA,22030,38.8520761,-77.2974439,2008-5-21
15,A,on jun pm vehic own report unknown person remov ste column cov tak pair binocul vehic park hotel lot,Fairfax,VA,22030,38.8556898,-77.331049,2008-5-22
2,A,on jun pm off observ sev subject light throwing molotov cocktail park lot deal the deal man contact request everyon ord property sev individ ident investig continu,Fairfax,VA,22030,38.8556719,-77.3313421,2008-5-22
15,A,on jun am employ report unknown fem subject pump gas vehic left stat without mak pay,Fairfax,VA,22030,38.8533449,-77.3254981,2008-5-20
15,A,on jun am off foot patrol observ sev subject carry sign post park lot busy two suspect apprehend are off pursu foot subsequ investig rev two park sign tak caf lot six fairfax county prob serv park sign highway sign also tak al sign recov,Fairfax,VA,22030,38.847492,-77.306957,2008-5-22
1,B,on jun am vehic own report sometim pm jun unknown person stol toyot solar coup park spac,Fairfax,VA,22030,38.860501,-77.328592,2008-5-23
15,A,on jun am victim report sometim noon jun am jun unknown person stol gps dev unlock vehic,Fairfax,VA,22030,38.858412,-77.294768,2008-5-23
15,A,on jun am victim report sometim am jun am jun unknown person stol laptop comput pow supply gps antenn ipod vehic park front resid,Fairfax,VA,22030,38.860665,-77.293499,2008-5-23
1,B,on jun pm vehic own report sometim pm jun pm jun unknown person stol hond civ park gar,Fairfax,VA,22030,38.8552479,-77.3299036,2008-5-23
15,A,on jun pm own report sometim sint afternoon jun unknown person stol mountain bik front porch resid,Fairfax,VA,22030,38.8603371,-77.2919094,2008-5-23
1,B,on jun am build engin report vehic gar ignit punch out investig rev hond civ report stol print georg county maryland jun,Fairfax,VA,22030,38.8552479,-77.3299036,2008-5-23
1,B,on jun pm busy own report form employ cal busy leav prof mess on jun mag issu war subject arrest,Fairfax,VA,22030,38.845451,-77.3059,2008-5-23
1,B,on jun pm occup striking vehic involv accid told investig off sev tim sist driv vehic upon investig subject admit op,Fairfax,VA,22030,38.863664,-77.276409,2008-5-23
15,A,on jun pm build own report sometim pm pm jun unknown person tak camer bag contain camer len rear load dock build,Fairfax,VA,22031,38.865946,-77.274967,2008-5-24
1,B,on jun pm build own report heard loud bang sound com rear build observ four unknown mal run toward lee highway the bas door smash hing,Fairfax,VA,22031,38.865946,-77.274967,2008-5-24
1,B,at pm jun victim report may unknown person us credit card numb mak unauth purchas,Fairfax,VA,22031,38.849214,-77.291008,2008-5-17
1,B,at pm jun off found intox subject lying grass bus stop the individ pres id soc sec card off immedy recogn fraud in addit tak custody drunk publ,Fairfax,VA,22030,38.852701,-77.32363,2008-5-21
1,B,the victim report sometim pm jun pm jun unknown person slash two tir vehic park park lot,Fairfax,VA,22030,38.8411558,-77.3159425,2008-5-30
1,B,sometim pm jun pm jun unknown person spray paint graffit met util shed,Fairfax,VA,22031,38.8650222,-77.2703526,2008-5-27
5,A,at pm jun victim report man approach outsid resid beg speak hom repair whil victim distract second suspect ent hom stol cash the first suspect describ hisp mal the victim un describ second suspect the vehic describ red suv,Fairfax,VA,22032,38.843834,-77.29543,2008-5-28
1,B,on july pm victim report review company fin record discov may unknown person produc fraud cop on busy check the check forg cash unknown loc,Fairfax,VA,22030,38.848522,-77.309963,2008-6-3
1,B,on july pm victim report bus stop mal subject touch inappropry upon pol ar suspect interview discov intox off arrest,Fairfax,VA,22030,38.8534866,-77.3202154,2008-6-2
15,A,on july pm victim report paty left off two xray assort paperwork without permit the off investig cas cal suspect verb assault phon on july pm,Fairfax,VA,22030,38.849448,-77.317484,2008-6-2
1,B,on july pm onsit maint person report unknown person spray paint graffit on sid build sometim mon may it also report mon jun unknown person dump mot oil swim pool,Fairfax,VA,22030,38.865412,-77.293196,2008-6-4
15,A,on july pm onsit maint person report unknown person stol handicap park sign dog allow sign property,Fairfax,VA,22030,38.865412,-77.293196,2008-6-3
1,B,sometim pm pm july unknown person brok panel glass next on suit,Fairfax,VA,22030,38.862001,-77.276275,2008-6-3
1,B,on july pm off respond busy report individ attempt purchas alcohol us poss fals id card off determin id fals charg,Fairfax,VA,22031,38.8641498,-77.2789729,2008-6-3
1,B,on july midnight off respond commun pool report individ swim hour off confront two suspect determin intox,Fairfax,VA,22031,38.843759,-77.278893,2008-6-5
15,A,the victim report july pm unknown person stol purpl bag contain person item the bag left unattend front apart build short period tim when victim confront mal hold bag suspect ran away the suspect describ whit mal wear dark cloth,Fairfax,VA,22031,38.8650222,-77.2703526,2008-6-7
15,A,sometim am am july unknown person gain entry park vehic break front passeng window stol stereo system,Fairfax,VA,22030,38.8604011,-77.3285586,2008-6-7
15,A,the victim report sometim am am july unknown person gain entry vehic stol two credit card ipod cash,Fairfax,VA,22030,38.861897,-77.284599,2008-6-7
1,B,sometim pm july am july unknown person threw eg striking four vehic park neighb,Fairfax,VA,22030,38.857437,-77.286938,2008-6-5
1,B,sometim pm july july unknown person threw eg two vehic neighb,Fairfax,VA,22030-2304,38.858925,-77.298836,2008-6-5
15,A,sometim pm july pm july unknown person stol lawn orna victim yard,Fairfax,VA,22031,38.853944,-77.270358,2008-6-2
