Category,CrimeGroup,Description,City,State,Zip,Latitude,Longitude,Date
1,B,incid org stat typ offens they list,Chantilly,VA,,38.88361,-77.439774,
1,B,show chain bridg road would mean block chain bridg,Chantilly,VA,,38.883607,-77.439755,
1,B,distribut offens,Chantilly,VA,,38.883607,-77.439755,
1,B,man arrest ste car us stol credit card friday janu,Centreville,VA,20120,38.8640663,-77.4608751,
1,B,on friday janu detect arrest jam william hom rollin,Alexandria,VA,22306,38.772196,-77.079854,
1,B,man arrest monday janu off proact patrol block,Alexandria,VA,22303,38.7874324,-77.0675092,
20,A,wom twoyearold daught rob way hom church tuesday,Falls Church,VA,22042,38.8764108,-77.1975743,
20,A,fal churchare man rob ent lee highway,,VA,,38.87355,-77.2384295,
15,A,fairfax county crim solv ask publ assist ident man,Falls Church,VA,22041,38.8515231,-77.1311723,
20,A,pol respond block sou georg mason driv robbery monday,Arlington,VA,,38.852222,-77.108746,
5,A,man arrest burgl monday janu around pm pol respond,Falls Church,VA,22041,38.8550959,-77.1379815,
20,A,pol respond block nor shor driv robbery wednesday janu,Reston,VA,20190,38.9581098,-77.335252,
20,A,on friday janu wom rob she walk block,Annandale,VA,22003,38.820705,-77.2211795,
20,A,springfield man rob gunpoint saturday janu short,Annandale,VA,,38.834455,-77.217878,
1,B,pedest hit car died result injury sustain,Annandale,VA,,38.834455,-77.217878,
1,B,old homicid cas in janu john bel tim sist mary bel,Chantilly,VA,,38.877344,-77.408781,2014-5-2
20,A,man stol wom purs monday janu around pm victim,Chantilly,VA,,38.877344,-77.408781,
15,A,wheel stol vehic,Centreville,VA,20121,38.8356763,-77.4242149,
15,A,cellul phon stol busy,Centreville,VA,20120,38.870138,-77.447703,
17,A,chevrolet trailblaz,Centreville,VA,20120,38.8640663,-77.4608751,
17,A,toyot coroll,Centreville,VA,20120,38.853658,-77.459964,
17,A,hond civ,Centreville,VA,20121,38.8306423,-77.4240696,
1,B,licens plat stol vehic,Alexandria,VA,22303,38.790907,-77.064177,
1,B,beer stol busy,Alexandria,VA,22303,38.794619,-77.070976,
1,B,win stol busy,Alexandria,VA,22303,38.794619,-77.070976,
1,B,grocery stol busy,Alexandria,VA,22303,38.783624,-77.079016,
1,B,wallet stol busy,Alexandria,VA,22306,38.740798,-77.07388,
1,B,bag briefcas bibl stol vehic,Alexandria,VA,22303,38.792593,-77.05895,
1,B,air compress nail gun stol vehic,Alexandria,VA,22306,38.772661,-77.082316,
1,B,beer stol busy,Alexandria,VA,22306,38.7593375,-77.084036,
1,B,beer cigaret stol busy,Alexandria,VA,22306,38.7593375,-77.084036,
1,B,play stol busy,Alexandria,VA,22306,38.7478279,-77.0833725,
1,B,bicyc stol resid,Alexandria,VA,22309,38.7270615,-77.112023,
1,B,gps unit play stol busy,Alexandria,VA,22309,38.7242932,-77.1176387,
1,B,gas stol busy,Annandale,VA,,38.831796,-77.195306,
1,B,credit card stol resid,Alexandria,VA,22309,38.7251029,-77.1336559,
17,A,hond civ,Alexandria,VA,22306,38.7432261,-77.0892004,
