Category,CrimeGroup,Description,City,State,Zip,Latitude,Longitude,Date
9,B,dui refus,Falls Church,VA,22044,38.876887,-77.1533642,
1,B,pol arrest mal juvenil want fairfax county felony war,Falls Church,VA,22046,38.8811783,-77.171997,
15,A,unknown person ent est stol heinek beer coron beer,Falls Church,VA,22046,38.8811783,-77.171997,
1,B,urin publ,Falls Church,VA,22044,38.8719077,-77.1540756,
15,A,ste tot wor merchand est,Falls Church,VA,22042,38.873837,-77.158478,
1,B,unknown person stol victim debit card numb charg tot victim account est loc mexico,Falls Church,VA,22046,38.879982,-77.170473,
11,B,dip,Falls Church,VA,22046,38.881903,-77.170036,
15,A,ste tot wor merchand,Falls Church,VA,22046,38.8934796,-77.1884485,
15,A,pm unknown person stol gray mountain bik patio resid,Falls Church,VA,22046,38.884659,-77.175307,2008-11-27
1,B,trespass school ground dark,Falls Church,VA,22046,38.883569,-77.184005,
1,B,unknown person assum id victim withdrew money victim bank account,Falls Church,VA,22041,38.849275,-77.118034,2008-11-7
1,B,janu pm janu am unknown person pri op out door est noth report stol,Falls Church,VA,22046,38.8817783,-77.1704924,
10,A,possess marijuan,Falls Church,VA,22046,38.876923,-77.162781,
11,B,pol arrest jason,Falls Church,VA,22046,38.8849344,-77.1726891,
1,B,fal church va dip burglarycommerc washington sal group broad st janu am janu am unknown person attempt gain ent est unsuccess,Falls Church,VA,22043-3901,38.880507,-77.20709,
15,A,unknown person ent victim vehic stol gps unit affix front windshield,Falls Church,VA,22046,38.8821,-77.172088,
11,B,pol arrest ton,Falls Church,VA,,38.87343,-77.1513,
1,B,unknown person spraypainted graffit eight door est,Falls Church,VA,22046,38.8804678,-77.1712841,
15,A,unknown person stol min kahul coff est,Falls Church,VA,22046,38.8789398,-77.1717245,
17,A,unknown person stol beig volvo wagon park lot the door unsec key ignit incid cas janu pol recov stol vehic park lot colem pow sport,Falls Church,VA,22046,38.8805295,-77.1731494,
9,B,driv influ hit run,Falls Church,VA,,38.87343,-77.1513,
7,A,unknown person slash four tir red ford pickup,Falls Church,VA,22046,38.882506,-77.17007,
11,B,drunk publ urin publ,Falls Church,VA,,38.87343,-77.1513,
11,B,drunk publ,Falls Church,VA,,38.87343,-77.1513,
1,B,unknown person struck whit niss sentr park lot est,Falls Church,VA,22046,38.890519,-77.184304,
1,B,driv without valid licens,Falls Church,VA,22046,38.8801001,-77.1748003,
11,B,drunk publ,Falls Church,VA,,38.87343,-77.1513,
1,B,unknown person us victim person inform credit card mak least two unauth charg incid cas unknown person chang access cod password block victim us account,Falls Church,VA,22046,38.8849344,-77.1726891,
1,B,urin publ,Falls Church,VA,,38.87343,-77.1513,
1,B,driv without valid licens,Falls Church,VA,22046,38.879612,-77.181027,
1,B,urin publ,Falls Church,VA,,38.87343,-77.1513,
1,B,driv suspend,Falls Church,VA,22042,38.873837,-77.158478,
15,A,unknown person stol box contain follow ant pers watercol sterl silv pers handmad cup hous cobalt staffordshir figurin pek enamel mir piec ant turquo chines tea set vint jewel men watch wittnau longin bubbl wrap hold partit rectangul pers orna box mous insid hand paint black lacqu pers mir op century japanes bronz koru incens hold the tot valu,Falls Church,VA,22046,38.879982,-77.170473,
1,B,dixy sheet met work gordon rd janu pm unknown person stol long wid tal orang blu col met dumpst rear est,Falls Church,VA,,38.88549,-77.173624,
1,B,unknown person stol,Falls Church,VA,22046,38.885532,-77.175781,
15,A,unknown person stol purs vehic the door vehic sec howev window half way,Falls Church,VA,22046,38.888357,-77.187279,
15,A,unknown person smash front passeng sid window vehic stol laptop comput purs left plain view,Falls Church,VA,22046,38.88188,-77.171083,
11,B,dip,Falls Church,VA,22046,38.8789671,-77.1717925,
7,A,unknown person cut graffit wal est,Falls Church,VA,22046,38.886357,-77.178714,
7,A,unknown person brok rear windshield vehic,Falls Church,VA,22046,38.879552,-77.155241,
9,B,dui driv suspend licens not,Falls Church,VA,22046,38.879225,-77.172922,
15,A,ste tan lucky brand wallet,Falls Church,VA,22042,38.873837,-77.158478,
11,B,dip,Falls Church,VA,,38.87343,-77.1513,
11,B,pol arrest tuo,Falls Church,VA,,38.87343,-77.1513,
1,B,fairfax va dip larceny build econom party supply broad st janu janu unknown person ent est stol tot cash,Falls Church,VA,,38.88549,-77.173624,
15,A,unknown person stol kid red blu park jacket valu est thi incid report janu,Falls Church,VA,22046,38.889554,-77.180662,2007-11-22
11,B,drunk publ,Falls Church,VA,22046,38.8832188,-77.1725206,
11,B,drunk publ,Falls Church,VA,22046,38.8823202,-77.1711043,
