Category,CrimeGroup,Description,City,State,Zip,Latitude,Longitude,Date
1,B,deputy respond party juvenil poss consum alcohol fifteen teen ag found drink und al teen ashburn the virgin depart alcohol bev control contact investig alcohol obtain beer liqu recov party the teen releas custody par juvenil court serv contact regard incid,,VA,20147,39.0495287,-77.5062712,
1,B,daniel pavy virgin charg disord conduc deputy respond resid report fight progress,Sterling,VA,20164,39.014428,-77.398209,
1,B,deputy respond are riverpoint driv ridgeback driv report victim sery lac the victim attend party list loc alleg hit head bottl the incid remain investig,Leesburg,VA,20176,39.0966231,-77.4826291,
1,B,leesburg man assault party list loc the victim tak inov fairfax hospit tre the subject involv fight posit ident tim,Leesburg,VA,20176,39.2554283,-77.5413405,
1,B,lindsey gal reil winchest christopher whippl ashburn ashburn fac charg break ent simpl assault tam lyn whippl ashburn charg break ent the suspect alleg went resid ent hom permit the alterc poss stol piec cloth on subject brand knif anoth wield bat on resid hom struck,,VA,20147,39.0534304,-77.5002193,
5,A,unknown subject ent resid remov ten sho firearm cash,Sterling,VA,20164,39.019036,-77.390153,
15,A,unknown subject remov gps unit radio vehic,,VA,20147,39.0500379,-77.5055034,
1,B,unknown subject spraypainted gangrel graffit bathroom wal,,VA,20164,38.9996132,-77.403288,
20,A,sterl man told auth leav resta assault three men the victim stat bicyc wallet cash tak the victim lat stat walk resta the incid remain investig,,VA,20164,39.0003819,-77.4015799,
15,A,unknown subject remov two gps unit two car window car dam gain entry valu,Sterling,VA,20164,39.03098,-77.3849465,
1,B,deputy conduc traff enforc are gold springs court deputy observ vehic driv aggress the deputy in traff stop vehic mad aggress mov elud law enforc the vehic ran red light berlin turnpik continu driv wel excess post spee limit the vehic continu west virgin pursuit termin jefferson county wv not three subject apprehend foot pursuit the driv ident juvenil fled juvenil facil west virgin charg pend loudoun juvenil driv,Purcellville,VA,20132,39.19838,-77.722139,
15,A,bradley jord pyburn ashburn charg larceny possess fals id unlaw possess alcohol the subject charg deputy respond are report larceny form vehic,Ashburn,VA,,39.051631,-77.483151,
5,A,an unknown subject ent bridg end cent gas stat remov cash thi second burgl est many week,Lovettsville,VA,20180,39.3059237,-77.6319793,
1,B,poss gangrel graffit loc sid build valu,Sterling,VA,20164,39.014307,-77.375658,
1,B,graffit loc brick sterl sign are list loc valu,,VA,20164,39.0215276,-77.3854189,
1,B,andr lou whit maryland charg indec expos whit alleg expos wom park lot,,VA,20166,39.0242506,-77.4299639,
1,B,william grav arizon kyl see manassa scot clark fairfax ryan grav chantil charg alterc resta al four charg malicy wound assault mob see also charg three count sex assault four count simpl assault al four subject held without bond,Sterling,VA,20165,39.036668,-77.4086815,
1,B,an unknown subject discharg firearm outsid sterl resta sheriff deputy respond eight bal caf report larg group peopl dur incid unknown black mal discharg sev shot air the suspect describ tal pound he long hair braid back bal second subject ryan andrew martin sterl charg incid respond deputy saw subject com caf he disord aggrav crowd the subject detain attempt resist he kick deputy leg beg kick wild he tak loudoun adult det cent charg assault law enforc off disord conduc obstruct just forc,Sterling,VA,20165,39.0364055,-77.4107375,
1,B,sterl man stab alterc townplac suit marriot the victim hotel room unknown subject attempt ent room he deny entry fight ensu group as mal cam anoth room victim stab the subject fled passeng vehic believ black infin the victim tak inov fairfax hospit sery injury,Sterling,VA,20165,39.032431,-77.3957515,
1,B,sheriff deputy respond emerg room inov fairfax hospit two victim ar assault the two victim said party list loc confront group mal want fight on suspect describ whit mal short stat black hair med build both victim receiv min injury,Leesburg,VA,20175,38.994537,-77.58366,
1,B,two vehic crash headon around pm involv crash muhammad kshaikh nbsp maryland shaikh driv jagu he airlift inov fairfax hospit remain hospit sery injury passeng car yuliy muryhin ashburn tak inov loudoun lansdown nonlifethr injury anoth passeng severim tatiam connecticut declin tre scen in second vehic charl cart leesburg driv volvo he airlift inov fairfax hospit remain hospit sery injuries passeng daniel kressley nbsp ashburn tak inov loudoun lansdown lat transport inov fairfax he remain hospit the caus crash remain investig,,,,0.0,0.0,
5,A,unknown subject ent resid remov cloth two laptop comput cash slid glass door dam gain entry,Sterling,VA,20164,39.000389,-77.401275,
15,A,unknown subject remov two chainsaw work truck padlock dam gain entry stor box contain chainsaw valu,Ashburn,VA,20147,39.0583115,-77.458898,
15,A,vary tool stol sev work truck park lot three stor box back truck dam gain entry valu,Chantilly,VA,20152,38.9262169,-77.5105314,
1,B,hond civ park are report suspicy vehic the vehic determin stol maryland,Sterling,VA,,39.033075,-77.406568,
15,A,homeown report janu unknown subject remov firearm resid sometim list dat,Purcellville,VA,20132,39.1472611,-77.7044285,
1,B,unknown subject remov purs vehic credit card us stol window vehic dam gain entry,Ashburn,VA,,39.015007,-77.4945585,
1,B,hond civ report stol list loc valu,Sterling,VA,20164,39.03098,-77.3849465,
1,B,deputy init cal nbsp resid loud nois complaint when deputy ar discov four juvenil nbsp ag nbsp alleg consum alcohol they releas par juvenil petit und possess alcohol poss in addit nbsp daniel war king ashburn joshu al litzy sterl charg contribut delinqu min deputy respond back resid around nbsp am janu report item tak hom the item includ laptop jewelry play app remov party held hous,Ashburn,VA,20147,39.036282,-77.492342,
15,A,unknown subject ent vehic remov gps unit,Sterling,VA,20165,39.052495,-77.404235,
5,A,unknown subject ent resid remov two laptop jewelry cash camcord,Sterling,VA,20164,39.005089,-77.41535,
1,B,thoma lusk sterl charg friday incid occur janu mr lusk alleg walk park lot potomac run plaz got verb alterc fem driv lusk app got vehic follow wom are stop accord victim mr lusk approach driv sid window display badg the victim told auth mr lusk told pol off aft investig mr lusk charg imperson pol off,Sterling,VA,20164,39.026223,-77.4017,
1,B,crossbow arrow discov lodg sid resid an investig rev crossbow cam neighb resid street the incid unint,Sterling,VA,20164,39.002748,-77.385658,
15,A,unknown subject dam passeng window vehic remov gps unit valu,Sterling,VA,20166,39.034744,-77.419408,
5,A,unknown subject ent resid stereo equip remov valu,Sterling,VA,20164,39.017904,-77.39152,
1,B,steph andrew schuresko ashburn charg assault battery law enforc felony elud obstruct just driv suspend licens the charg stem pursuit deputy in traff stop vehic are list loc suspicy driv behavy the vehic accel turn onto am plac the vehic turn around culdesac near struck pursu deputy vehic the vehic turn back onto gloucest parkway ev lost control crash park vehic the driv attempt fle foot the fle suspect turn struck deputy struggle the struggle continu second deputy ar suspect tak custody schuresko remain held without bond,Ashburn,VA,,39.051631,-77.483151,
15,A,an unknown subject ent trist exxon remov num carton cigaret the suspect describ black mal tal heavy set valu,Purcellville,VA,20132,39.3196271,-77.7149304,
1,B,martin garciamartinez leesburg lost lif construct accid garc app stand fork op forklift the forklift struck pill front reg cinem victim caught between garc tak lansdown camp inov loudoun hospit lost lif,Sterling,VA,20165,39.036668,-77.4086815,
1,B,resid report hear loud nois hom upon inspect discov crack front door black col car seen leav are,Chantilly,VA,,38.919995,-77.505124,
15,A,resid report cash remov resid ther sign forc entry resid,Lansdowne,VA,20176-5160,39.080211,-77.471988,
1,B,herndon man report near struck vehic park lot the vehic new model hond accord silv col,,VA,20147,39.040028,-77.4893003,
1,B,resid report hear someon bang door resid two subject seen run are,,VA,20164,39.012211,-77.3759029,
1,B,unknown subject ent vehic rum cent consol not item remov,Ashburn,VA,20147,39.031852,-77.500186,
15,A,unknown subject ent vehic remov smal amount cash,,VA,20147,39.0311841,-77.4992023,
1,B,unknown subject ent vehic rum cent consol glov compart,,VA,20147,39.0311841,-77.4992023,
15,A,unknown subject remov rol cop wir construct sit valu,Leesburg,VA,20175,39.041295,-77.573638,
15,A,unknown subject ent vehic remov smal amount us cur,Ashburn,VA,20147,39.049798,-77.470844,
1,B,unknown subject ent two vehic the vehic glov box rum through,Ashburn,VA,20147,39.034861,-77.503949,
15,A,unknown subject dam driv sid window car remov play valu,Chantilly,VA,20152,38.903098,-77.519343,
1,B,unknown subject dam three vehic resid valu,Sterling,VA,20164,38.994536,-77.407869,
1,B,deputy in traff stop vehic malfunct equip the deputy in emerg equip vehic accel nouk phungnoc sterl charg felony elud lit reckless driv phungnoc releas loudoun mag person recogn bond,Sterling,VA,20164,38.993852,-77.405394,
15,A,unknown subject dam window excav two gallon oil drum remov sit valu,Ashburn,VA,,39.051631,-77.483151,
5,A,unknown subject ent busy remov laptop valu,,VA,20147,39.0214076,-77.4786289,
15,A,unknown subject remov two headlight assembl vehic valu,,VA,20166,38.9743689,-77.4125771,
15,A,unknown subject ent vehic remov smal amount us cur play valu,Lansdowne,VA,20176-3817,39.086552,-77.491658,
15,A,unknown subject ent vehic dam window gps unit remov valu,Sterling,VA,20164,38.99593,-77.412963,
15,A,unknown subject remov wallet left outsid ashburn sport pavil cash credit card insid purs,,VA,20147,39.0496741,-77.4733828,
1,B,unknown subject dam hard wir walkway light right rear window door vehic also dam valu,Chantilly,VA,20152,38.9109728,-77.5321263,
1,B,tony riva alfonso herndon charg reckless driv the sheriff off receiv report motorcyc travel high rat spee rout deputy observ motorcyc pass high rat spee the deputy in traff stop motorcyc stop rout dranesvil road summon issu,,VA,,39.091836,-77.524865,
1,B,deputy respond are report suspicy person two vehic found ent forc two subject appear juvenil seen run are digit camer remov on vehic,Ashburn,VA,20148,39.015682,-77.510748,
