Category,CrimeGroup,Description,City,State,Zip,Latitude,Longitude,Date
1,B,unknown subject dam two window school bus poss bb gun valu,Sterling,VA,20165,39.051965,-77.39028,
15,A,unknown subject ent sev vehic remov item som item left vehic also ent smal amount cash report stol on victim,,VA,20147,39.0200829,-77.5046488,
5,A,resid return hom found hous ent rum through item remov includ jewelry cash rear door dam gain entry,Sterling,VA,20164,39.005089,-77.41535,
15,A,unknown subject ent vehic dam window insid remov gps unit cel phon charg valu,,VA,20164,39.0096138,-77.3811385,
15,A,unknown subject ent vehic remov play,,VA,20147,39.0289996,-77.4948051,
1,B,ashburn teen charg alleg brand firearm victim the suspect alleg brand firearm verb alterc school bus the incid occur around pm both victim suspect stud bri wood high school the suspect charg possess firearm stun weapon weapon school property prohibit,Ashburn,VA,20147,39.030955,-77.497965,
15,A,unknown subject ent three vehic dam window remov two wallet three gps unit,,VA,20164,39.0115983,-77.3764035,
15,A,unknown subject remov gps unit vehic valu,Ashburn,VA,20148,39.016117,-77.521303,
15,A,unknown subject ent vehic remov purs cont window dam gain entry,Ashburn,VA,20147,39.020245,-77.493354,
15,A,unknown subject ent vehic remov purs cont credit card purs already us outsid county window dam gain entry,Ashburn,VA,20148,39.007455,-77.520705,
15,A,unknown subject ent unlock vehic remov play,Chantilly,VA,20152,38.918124,-77.526348,
15,A,unknown subject ent unlock vehic remov cel phon play,Ashburn,VA,20147,39.06856,-77.49231,
1,B,unknown subject spray paint vehic poss gangrel graffit,Sterling,VA,20164,39.021526,-77.386594,
1,B,unknown subject spray paint vulg graffit resid,,VA,,39.040356,-77.486825,
1,B,unknown subject attempt gain entry resid two subject seen stand near rear property,Sterling,VA,20164,39.035161,-77.378667,
1,B,ashburn teen charg alleg brand firearm victim the suspect alleg brand firearm verb alterc school bus the incid occur around pm both victim suspect stud ston bridg high school the suspect charg possess firearm stun weapon weapon school property prohibit,Ashburn,VA,20147,39.030955,-77.497965,
15,A,unknown subject ent three vehic dam window remov two wallet three gps unit,,VA,20164,39.0115983,-77.3764035,
15,A,unknown subject remov gps unit vehic valu,Ashburn,VA,20148,39.016117,-77.521303,
15,A,unknown subject ent vehic remov purs cont window dam gain entry,Ashburn,VA,20147,39.020245,-77.493354,
15,A,unknown subject ent vehic remov purs cont credit card purs already us outsid county window dam gain entry,Ashburn,VA,20148,39.007455,-77.520705,
15,A,unknown subject ent unlock vehic remov play,Chantilly,VA,20152,38.918124,-77.526348,
15,A,unknown subject ent unlock vehic remov cel phon play,Ashburn,VA,20147,39.06856,-77.49231,
1,B,unknown subject spray paint vehic poss gangrel graffit,Sterling,VA,20164,39.021526,-77.386594,
1,B,unknown subject spray paint vulg graffit resid,,VA,,39.040356,-77.486825,
1,B,unknown subject attempt gain entry resid two subject seen stand near rear property,Sterling,VA,20164,39.035161,-77.378667,
