Category,CrimeGroup,Description,City,State,Zip,Latitude,Longitude,Date
13,A,on the list dat and tim at the list loc report that when she was approach the loc she saw fiv black mal run from the list loc stat that when she got insid she saw lay on the front couch,Washington,DC,20002,38.921832833145,-77.0020339075152,2006-1-4
13,A,rpts receiv radio run for shoot at the list loc upon ar observ lay in an unconscy was suff from gunshot wound to the low was transport admit in crit cond,Washington,DC,20001,38.9059671030888,-77.0090596117785,2006-1-4
13,A,adult was found on sidewalk suff from gunshot wound to the head,Washington,DC,20019,38.8990241874208,-76.92958855563,2006-1-6
13,A,report receiv cal for the sound of gunshot found in the alley suff from gunshot wound to the head body,Washington,DC,20010,38.9331683022302,-77.0317987342356,2006-1-9
13,A,was found lying fac down in front of the list loc suff from an app gunshot wound to the chest was transport to hospit and was pronount dead,Washington,DC,20032,38.8266056305744,-77.0012678775021,2006-1-15
13,A,report that was found by the list loc suff from gunshot to the head,Washington,DC,20001,38.9188728245547,-77.0177923486893,2006-1-20
13,A,was found in an unconscy stat suff from multipl stab wound she was pronount was found suff from multipl stab wound and was transport admit,Washington,DC,20002,38.8947831869783,-76.9872042814226,2006-1-17
13,A,was found suff from gunshot wound to the head was pronount on the scen,Washington,DC,20019,38.891365284474,-76.9445564604665,2006-1-21
13,A,knif cut in was found insid his apart suff from stab wound he remain on the scen and was pronount,Washington,DC,20019,38.9018211599812,-76.9454068458102,2006-1-22
13,A,wit report aft verb alterc ov park spac discharg firearm striking and was struck whil insid of resta thru fled southbound on st nw in the vehic,Washington,DC,20009,38.9170001218872,-77.0288525765109,2006-1-26
13,A,found suff from gunshot wound to the body transport pronount,Washington,DC,20019,38.8875760352732,-76.9520234037357,2006-1-26
13,A,was shot sev tim in the arm and sid by an unknown subject was transport by dc amb to pg hospit and admit awik,Washington,DC,20019,38.8919665390129,-76.9115956198201,2006-1-25
13,A,was found unconscy suff from gunshot wound,New York,NY,10011,38.8875892247141,-76.9789958283006,2006-1-28
13,A,and wer found at the list loc suff from multipl gunshot wound to the body,Washington,DC,20032,38.8340689312242,-76.9917840292498,2006-2-1
13,A,and wer found at the list loc suff from multipl gunshot wound to the body,Washington,DC,20032,38.8340689312242,-76.9917840292498,2006-2-1
13,A,wer found suff from multipl gunshot wound was transport to pg hospit and was transport to the dcme facil and presum pronount clos with the arrest of three subject awik,Washington,DC,20020,38.8715940327104,-76.9636743580074,2006-2-7
13,A,the report off wer flag down by cit who stat that ther was man down at the list loc was found lying fac up suff from gunshot wound to the head was transport to was,Washington,DC,20001,38.9133474260449,-77.0229435956898,2006-2-17
13,A,report observ fac down on the grass tap sho ask ar you alright rais his head then shook it from sid to sid med did cpr on whil being transport to huh wer he was pronount,Washington,DC,20002,38.9078427594724,-77.0058879513245,2006-2-24
13,A,report whil travel southbound on georg av nw blk car drov alongsid them beg shoot at their vehic the vehic was struck sev tim wer struck also was pronount at hrs by dr conrad sm,Washington,DC,20001,38.9194911677493,-77.0219009045752,2006-3-1
13,A,was found suff from gunshot wound to an unspec are of his body was transport to pg hospit by dcfd med and pronount whit ford crown victor and black mal wer seen leav the alley are canvass,Washington,DC,20019,38.9115987540277,-76.9360081196532,2006-3-2
13,A,dv was found on the kitch flo at the list loc in an unconscy stat was blee from the mou nos and head was transport to hu hospit and list in crit condit stat pri to pol arriv,Washington,DC,20020,38.8599301243437,-76.9989245193633,2006-3-11
13,A,stat that was found suff from num gunshot wound to the head and body transport to medst wher was pronount,Washington,DC,20002,38.9175152268674,-77.0020306133484,2006-3-17
13,A,report respond to the list loc ont on the scen was found suff from gunshot wound to the back was transport to medst wer he was pronount at,Washington,DC,20018,38.9265604524434,-76.9813746732867,2006-3-21
13,A,report that was found at the list loc suff from gunshot wound to the left buttock was unconscy was transport was pronount,Washington,DC,20001,38.9175542427364,-77.0259909429462,2006-3-27
13,A,was found in park lot suff from multipl gunshot wound to the head he was transport to the dcme off and presum pronount are canvass,Washington,DC,20019,38.8820366495229,-76.93339303485,2006-4-14
13,A,was found in the block of eastern avenu ne suff from sev gun shot to the up body was transport to medst by pg county med unit was pronount by dr jang of the med star staff at,Mt Rainier,MD,20712,38.9338650716881,-76.961738135597,2006-4-24
13,A,was found unrespond suff from gunshot wound to the left hand and chest was transport to georg washington hospit wher he was pronount dead at hrs by dr smi the offens occur in the vehic,Washington,DC,,38.8441108147642,-76.9981878909064,2006-4-30
13,A,on the list dat tim and loc was found in an unconscy stat by mpd off suff from stab wound to the left up chest are was transport to medst by amb wher he was pronount by doct michael will,Washington,DC,20018,38.9340957597317,-76.9630222179457,2006-5-1
13,A,report find at the list loc in an unconscy stat and not breath had lacerc tram the head dcfd respond engin pronount dead at the scen,Washington,DC,20002,38.9049710389889,-76.9776020423111,2006-5-4
