Category,CrimeGroup,Description,City,State,Zip,Latitude,Longitude,Date
13,A,was found at the list loc suff from multipl gunshot wound was breath but unrespond and was transport to the hospit was attend to by med staff and admit,Washington,DC,20020,38.8438845587477,-76.9789192694961,
13,A,mpdc off observ mal on the ground with blook on his cloth and pool of blood collect was in front of apart was breath but not coh and unrespond had gunshot wound in his low back amb transpo,Washington,DC,20011,38.9643423706848,-77.0316019196207,2009-1-6
13,A,report find fac down unconscy and not breath at the list loc was suff from gunshot wound to the head and neck aft being shot at by the suspect,Washington,DC,20019,38.8964970047024,-76.9477717786059,2009-8-1
15,A,report unknown person stol the list property from the list loc,Washington,DC,20004,38.8973430651067,-77.0209167667638,2009-2-10
15,A,report that the list vehic was park by hotel staff at the list loc person unknown then brok into the list vehic by us an unknown object to break the rear left sid passeng vent window ont insid the list property was stol,Washington,DC,20037,38.9096466271089,-77.0520705247487,
20,A,report that approach him at dupont circ and new hampshir av nw ask him for money said he had noth follow up to new hampshir av nw and st nw push down to the ground and punch him every wher around the fac,Washington,DC,,38.9085691959547,-77.0444490465743,
15,A,report that he was hir by to tak him to the lis loc request to stop within the block at an atm exit the cab and fled in an unknown direct without pay the far,Washington,DC,20008,38.9245256071934,-77.0521276621793,
5,A,report the resid was ent by forc the lock and door fram off the hing stat that he just mov into the resid and his box hav not been unpack at thi tim it is undetermin if anyth was tak,Washington,DC,20037,38.9072439593582,-77.0477225603003,
15,A,report she left her purs unattend and unknown person stol the list property,Washington,DC,20009,38.9114981494317,-77.0448825281533,
15,A,report that unknown subject stol the list property from the list auto that wer left unlock,Washington,DC,20016,38.9390770844721,-77.1004151515792,
15,A,report that stol the list property that was left on the count and left unattend observ tak the list property from the count,Washington,DC,20007,38.9051857453623,-77.0619977289967,
20,A,report that whil walk in the list loc that he was approach by through who assault him was thrown to the ground and was beat about the fac and body by caus the list injury then took the list property off of,Washington,DC,,38.8431125501708,-76.9791140820521,
15,A,report for that and ent the list loc and cont the list property in black purs and walk past al work reg and out the stor and wer stop by,Washington,MD,20815,38.9584064416313,-77.0887882795165,
20,A,report that whil seat in her friend auto along with and in front of the list loc that remov her purs from the front seat fled the auto with property and fled insid the list loc,Washington,DC,20020,38.8539141417729,-76.9844642687264,
15,A,report that unknown subject stol the list property from his unattend and unsec coat pocket which was left unattend in the employ break room,Washington,District of Columbia,20036,38.9056548186353,-77.0441730537439,
3,A,stat whil sit in his vehic drov up besid him stat mov yo car then said il be back walk across the street return with black handgun then hit in the fac caus mou to swel blee,Washington,DC,20019,38.8936939165679,-76.935756749565,
15,A,report that walk into the list loc and took the list property then walk out of the loc without pay,Washington,DC,20020,38.8510335194798,-76.9739835961115,
15,A,report the theft of his vehic did not giv anyon permit to mov or tak his vehic the key ar with the vehic and the reg is with the own,Washington,DC,20019,38.8879146328226,-76.9262003582372,
15,A,report on the list dat and tim unknown person stol the list property from the list loc,Washington,DC,20018,38.9204578734306,-76.971562599989,
15,A,report the theft of vehic did not giv anyon oth the permit to driv her vehic the key ar with and the reg is with,Washington,DC,20019,38.893651479236,-76.9409034528698,
5,A,report for the that som person ent the list loc by unknown mean and stol the list property,Washington,DC,20032,38.8323684866825,-77.0082037539348,
15,A,report on the list dat and tim unknown person stol the list vehic from the list loc,Washington,DC,20002,38.9050682001646,-76.9901171147648,
15,A,report on the list dat and tim unknown person stol the list vehic from the list loc,Washington,DC,20002,38.9102565341235,-76.9872629739927,
22,A,to protect the victim priv the nar is not avail,Washington,DC,20017,38.9287994306291,-77.0044931258628,
15,A,report his maryland temp tag had been remov from his vehic,Washington,DC,20019,38.8757233768516,-76.9636028942412,
15,A,report she left vehic run with friend occupy it the friend step out of the vehic to speak with anoth friend two unknown suspect jump in vehic and wer last seen exit the liqu stor park lot,Washington,DC,20019,38.8913298585236,-76.9519660550765,
20,A,report that whil walk in the list loc that she was approach by and produc semiautom handgun silv in col and stat mam nee yo purs tak off yo purs comply hand ov the list property,Washington,DC,20020,38.8483573189849,-76.9815728428831,
15,A,report that he left his auto unattend with the key in the ignit at the list loc and that som person took said auto without his permit,Cullman,AL,35077,38.8599171092299,-76.9669096674305,
3,A,and wer involv in verb alterc which result in both cut the oth was transport to the hospit for tre and admit was tak to unit med cent for tre and releas,Washington,DC,20020,38.8607723912453,-76.997567087908,
20,A,report he and start drink to celebr the new year short aft they beg argu and struck about the head with drink glass caus sev lac to forehead,Washington,DC,20001,38.9025162719395,-77.0209843569942,
20,A,report whil stand at the bus stop approach from behind striking in the left sid of the head with an unknown object aft fel to the ground unconscy and went through pocket rob him of the list property,Washington,DC,20011,38.9675664778276,-77.0344929621217,
